domain,file,line,symbol,current_type,target_type,classification,evidence,migration_required,risk
backend-python,backend/app/financial_intelligence/routes.py,21,expense_change_percent,float,"Decimal / NUMERIC(precision, scale)",money-or-rate,expense_change_percent: float = 0,yes,critical
backend-python,backend/app/financial_intelligence/routes.py,22,collection_improvement_percent,float,Decimal / NUMERIC when fractional; Integer when indivisible,quantity-or-measurement,collection_improvement_percent: float = 0,yes,medium
backend-conversion,backend/app/financial_intelligence/routes.py,36,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(value or 0),code-change,critical
raw-sql,backend/app/financial_intelligence/routes.py,36,return,FLOAT,Explicit numeric policy required,numeric-review,return float(value or 0),yes,review
raw-sql,backend/app/financial_policy.py,47,tax_percent,REAL,"Decimal / NUMERIC(precision, scale)",money-or-rate,"tax_percent REAL NOT NULL DEFAULT 0,",yes,critical
raw-sql,backend/app/financial_policy.py,64,tax_percent,REAL,"Decimal / NUMERIC(precision, scale)",money-or-rate,"""tax_percent REAL NOT NULL DEFAULT 0""",yes,critical
backend-python,backend/app/financial_policy.py,129,tax_percent,float,"Decimal / NUMERIC(precision, scale)",money-or-rate,"tax_percent: float = Field(default=0, ge=0, le=100)",yes,critical
sqlalchemy-model,backend/app/models/accounting_entry.py,15,debit,Float,"Decimal / NUMERIC(precision, scale)",money-or-rate,"debit = Column(Float, default=0)",yes,critical
sqlalchemy-model,backend/app/models/accounting_entry.py,16,credit,Float,"Decimal / NUMERIC(precision, scale)",money-or-rate,"credit = Column(Float, default=0)",yes,critical
sqlalchemy-model,backend/app/models/accounting_entry.py,17,balance_after,Float,"Decimal / NUMERIC(precision, scale)",money-or-rate,"balance_after = Column(Float, default=0)",yes,critical
sqlalchemy-model,backend/app/models/customer.py,19,opening_balance,Float,"Decimal / NUMERIC(precision, scale)",money-or-rate,"opening_balance = Column(Float, default=0)",yes,critical
sqlalchemy-model,backend/app/models/customer.py,20,credit_limit,Float,"Decimal / NUMERIC(precision, scale)",money-or-rate,"credit_limit = Column(Float, default=0)",yes,critical
sqlalchemy-model,backend/app/models/invoice.py,12,subtotal,Float,"Decimal / NUMERIC(precision, scale)",money-or-rate,"subtotal = Column(Float, default=0)",yes,critical
sqlalchemy-model,backend/app/models/invoice.py,13,discount_percent,Float,"Decimal / NUMERIC(precision, scale)",money-or-rate,"discount_percent = Column(Float, default=0)",yes,critical
sqlalchemy-model,backend/app/models/invoice.py,14,discount_amount,Float,"Decimal / NUMERIC(precision, scale)",money-or-rate,"discount_amount = Column(Float, default=0)",yes,critical
sqlalchemy-model,backend/app/models/invoice.py,15,tax_percent,Float,"Decimal / NUMERIC(precision, scale)",money-or-rate,"tax_percent = Column(Float, default=0)",yes,critical
sqlalchemy-model,backend/app/models/invoice.py,16,tax_amount,Float,"Decimal / NUMERIC(precision, scale)",money-or-rate,"tax_amount = Column(Float, default=0)",yes,critical
sqlalchemy-model,backend/app/models/invoice.py,17,shipping_cost,Float,"Decimal / NUMERIC(precision, scale)",money-or-rate,"shipping_cost = Column(Float, default=0)",yes,critical
sqlalchemy-model,backend/app/models/invoice.py,18,total_amount,Float,"Decimal / NUMERIC(precision, scale)",money-or-rate,"total_amount = Column(Float, default=0)",yes,critical
sqlalchemy-model,backend/app/models/invoice.py,32,quantity,Float,Decimal / NUMERIC when fractional; Integer when indivisible,quantity-or-measurement,"quantity = Column(Float, default=1)",yes,medium
sqlalchemy-model,backend/app/models/invoice.py,33,unit_price,Float,"Decimal / NUMERIC(precision, scale)",money-or-rate,"unit_price = Column(Float, default=0)",yes,critical
sqlalchemy-model,backend/app/models/invoice.py,34,total_price,Float,"Decimal / NUMERIC(precision, scale)",money-or-rate,"total_price = Column(Float, default=0)",yes,critical
sqlalchemy-model,backend/app/models/product.py,19,buy_price,Float,"Decimal / NUMERIC(precision, scale)",money-or-rate,"buy_price = Column(Float, default=0)",yes,critical
sqlalchemy-model,backend/app/models/product.py,20,sell_price,Float,"Decimal / NUMERIC(precision, scale)",money-or-rate,"sell_price = Column(Float, default=0)",yes,critical
sqlalchemy-model,backend/app/models/product.py,23,price,Float,"Decimal / NUMERIC(precision, scale)",money-or-rate,"price = Column(Float, default=0)",yes,critical
sqlalchemy-model,backend/app/models/product.py,25,stock,Float,Decimal / NUMERIC when fractional; Integer when indivisible,quantity-or-measurement,"stock = Column(Float, default=0)",yes,medium
sqlalchemy-model,backend/app/models/product.py,26,min_stock,Float,Decimal / NUMERIC when fractional; Integer when indivisible,quantity-or-measurement,"min_stock = Column(Float, default=0)",yes,medium
raw-sql,backend/app/online_commerce.py,44,online_price,FLOAT,"Decimal / NUMERIC(precision, scale)",money-or-rate,"online_price FLOAT,",yes,critical
raw-sql,backend/app/online_commerce.py,45,discount_percent,FLOAT,"Decimal / NUMERIC(precision, scale)",money-or-rate,"discount_percent FLOAT NOT NULL DEFAULT 0,",yes,critical
backend-python,backend/app/online_commerce.py,98,online_price,Optional[float],"Decimal / NUMERIC(precision, scale)",money-or-rate,"online_price: Optional[float] = Field(default=None, ge=0)",yes,critical
backend-python,backend/app/online_commerce.py,99,discount_percent,float,"Decimal / NUMERIC(precision, scale)",money-or-rate,"discount_percent: float = Field(default=0, ge=0, le=100)",yes,critical
raw-sql,backend/app/security.py,31,else,FLOAT,Explicit numeric policy required,numeric-review,now = time.monotonic() if now is None else float(now),yes,review
backend-conversion,backend/app/security.py,31,float(),binary float conversion,Explicit numeric policy required,numeric-review,float(now),code-change,review
raw-sql,backend/app/security.py,42,else,FLOAT,Explicit numeric policy required,numeric-review,now = time.monotonic() if now is None else float(now),yes,review
backend-conversion,backend/app/security.py,42,float(),binary float conversion,Explicit numeric policy required,numeric-review,float(now),code-change,review
backend-conversion,backend/app/smart_inventory/routes.py,14,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(value or 0),code-change,critical
raw-sql,backend/app/smart_inventory/routes.py,14,return,FLOAT,Explicit numeric policy required,numeric-review,return float(value or 0),yes,review
backend-conversion,backend/app/storefront_sync.py,90,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(row[""discount_percent""] or 0)",code-change,critical
backend-conversion,backend/app/storefront_sync.py,91,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(price or 0),code-change,critical
backend-conversion,backend/app/storefront_sync.py,99,float(),binary float conversion,Decimal / NUMERIC when fractional; Integer when indivisible,quantity-or-measurement,"float(row[""stock""] or 0)",code-change,medium
sqlalchemy-model,backend/main.py,128,tax_percent,Float,"Decimal / NUMERIC(precision, scale)",money-or-rate,"tax_percent = Column(Float, default=10)",yes,critical
sqlalchemy-model,backend/main.py,129,discount_percent,Float,"Decimal / NUMERIC(precision, scale)",money-or-rate,"discount_percent = Column(Float, default=0)",yes,critical
sqlalchemy-model,backend/main.py,139,low_stock_default,Float,Decimal / NUMERIC when fractional; Integer when indivisible,quantity-or-measurement,"low_stock_default = Column(Float, default=5)",yes,medium
raw-sql,backend/main.py,166,opening_balance,FLOAT,"Decimal / NUMERIC(precision, scale)",money-or-rate,"""opening_balance"": ""opening_balance FLOAT DEFAULT 0"",",yes,critical
raw-sql,backend/main.py,167,credit_limit,FLOAT,"Decimal / NUMERIC(precision, scale)",money-or-rate,"""credit_limit"": ""credit_limit FLOAT DEFAULT 0"",",yes,critical
raw-sql,backend/main.py,172,subtotal,FLOAT,"Decimal / NUMERIC(precision, scale)",money-or-rate,"""subtotal"": ""subtotal FLOAT DEFAULT 0"",",yes,critical
raw-sql,backend/main.py,173,discount_percent,FLOAT,"Decimal / NUMERIC(precision, scale)",money-or-rate,"""discount_percent"": ""discount_percent FLOAT DEFAULT 0"",",yes,critical
raw-sql,backend/main.py,174,discount_amount,FLOAT,"Decimal / NUMERIC(precision, scale)",money-or-rate,"""discount_amount"": ""discount_amount FLOAT DEFAULT 0"",",yes,critical
raw-sql,backend/main.py,175,tax_percent,FLOAT,"Decimal / NUMERIC(precision, scale)",money-or-rate,"""tax_percent"": ""tax_percent FLOAT DEFAULT 0"",",yes,critical
raw-sql,backend/main.py,176,tax_amount,FLOAT,"Decimal / NUMERIC(precision, scale)",money-or-rate,"""tax_amount"": ""tax_amount FLOAT DEFAULT 0"",",yes,critical
raw-sql,backend/main.py,177,shipping_cost,FLOAT,"Decimal / NUMERIC(precision, scale)",money-or-rate,"""shipping_cost"": ""shipping_cost FLOAT DEFAULT 0"",",yes,critical
raw-sql,backend/main.py,221,amount,FLOAT,"Decimal / NUMERIC(precision, scale)",money-or-rate,"amount FLOAT DEFAULT 0,",yes,critical
raw-sql,backend/main.py,233,quantity,FLOAT,Decimal / NUMERIC when fractional; Integer when indivisible,quantity-or-measurement,"quantity FLOAT DEFAULT 0,",yes,medium
backend-python,backend/main.py,434,opening_balance,float,"Decimal / NUMERIC(precision, scale)",money-or-rate,opening_balance: float = 0,yes,critical
backend-python,backend/main.py,435,credit_limit,float,"Decimal / NUMERIC(precision, scale)",money-or-rate,credit_limit: float = 0,yes,critical
backend-python,backend/main.py,443,price,Optional[float],"Decimal / NUMERIC(precision, scale)",money-or-rate,price: Optional[float] = None,yes,critical
backend-python,backend/main.py,444,sell_price,Optional[float],"Decimal / NUMERIC(precision, scale)",money-or-rate,sell_price: Optional[float] = None,yes,critical
backend-python,backend/main.py,445,buy_price,Optional[float],"Decimal / NUMERIC(precision, scale)",money-or-rate,buy_price: Optional[float] = None,yes,critical
backend-python,backend/main.py,447,stock,float,Decimal / NUMERIC when fractional; Integer when indivisible,quantity-or-measurement,stock: float = 0,yes,medium
backend-python,backend/main.py,452,quantity,float,Decimal / NUMERIC when fractional; Integer when indivisible,quantity-or-measurement,quantity: float,yes,medium
backend-python,backend/main.py,453,unit_price,float,"Decimal / NUMERIC(precision, scale)",money-or-rate,unit_price: float,yes,critical
backend-python,backend/main.py,460,discount_percent,float,"Decimal / NUMERIC(precision, scale)",money-or-rate,discount_percent: float = 0,yes,critical
backend-python,backend/main.py,461,tax_percent,float,"Decimal / NUMERIC(precision, scale)",money-or-rate,tax_percent: float = 0,yes,critical
backend-python,backend/main.py,462,shipping_cost,float,"Decimal / NUMERIC(precision, scale)",money-or-rate,shipping_cost: float = 0,yes,critical
backend-python,backend/main.py,470,amount,float,"Decimal / NUMERIC(precision, scale)",money-or-rate,amount: float,yes,critical
backend-python,backend/main.py,480,amount,float,"Decimal / NUMERIC(precision, scale)",money-or-rate,amount: float,yes,critical
backend-python,backend/main.py,488,quantity,float,Decimal / NUMERIC when fractional; Integer when indivisible,quantity-or-measurement,quantity: float,yes,medium
backend-python,backend/main.py,517,tax_percent,float,"Decimal / NUMERIC(precision, scale)",money-or-rate,tax_percent: float = 10,yes,critical
backend-python,backend/main.py,518,discount_percent,float,"Decimal / NUMERIC(precision, scale)",money-or-rate,discount_percent: float = 0,yes,critical
backend-python,backend/main.py,528,low_stock_default,float,Decimal / NUMERIC when fractional; Integer when indivisible,quantity-or-measurement,low_stock_default: float = 5,yes,medium
backend-conversion,backend/main.py,554,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(entry.debit or 0),code-change,critical
backend-conversion,backend/main.py,555,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(entry.credit or 0),code-change,critical
backend-conversion,backend/main.py,572,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(credit or 0),code-change,critical
backend-conversion,backend/main.py,578,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(debit or 0),code-change,critical
raw-sql,backend/main.py,578,if,FLOAT,Explicit numeric policy required,numeric-review,"entry_type=""debit"" if float(debit or 0) >= float(credit or 0) else ""credit"",",yes,review
backend-conversion,backend/main.py,580,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(debit or 0),code-change,critical
backend-conversion,backend/main.py,581,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(credit or 0),code-change,critical
backend-conversion,backend/main.py,596,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(accounting_money(abs(opening_balance or 0))),code-change,critical
backend-conversion,backend/main.py,628,float(),binary float conversion,Decimal / NUMERIC when fractional; Integer when indivisible,quantity-or-measurement,float(product.stock or 0),code-change,medium
backend-conversion,backend/main.py,629,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(accounting_money(product.buy_price or 0)),code-change,critical
backend-conversion,backend/main.py,630,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(accounting_money(stock * unit_cost)),code-change,critical
backend-conversion,backend/main.py,661,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(accounting_money(
        abs(stock_delta) * float(product.buy_price or 0)
    ))",code-change,critical
backend-conversion,backend/main.py,662,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(product.buy_price or 0),code-change,critical
backend-conversion,backend/main.py,710,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(getattr(product, ""buy_price"", 0) or 0)",code-change,critical
backend-conversion,backend/main.py,711,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(
        getattr(product, ""sell_price"", None)
        or getattr(product, ""price"", 0)
        or 0
    )",code-change,critical
backend-conversion,backend/main.py,716,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(getattr(product, ""price"", 0) or sell_price or 0)",code-change,critical
backend-conversion,backend/main.py,717,float(),binary float conversion,Decimal / NUMERIC when fractional; Integer when indivisible,quantity-or-measurement,"float(getattr(product, ""stock"", 0) or 0)",code-change,medium
backend-conversion,backend/main.py,718,float(),binary float conversion,Decimal / NUMERIC when fractional; Integer when indivisible,quantity-or-measurement,"float(getattr(product, ""min_stock"", 0) or 0)",code-change,medium
backend-conversion,backend/main.py,788,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(settings.tax_percent or 0),code-change,critical
backend-conversion,backend/main.py,789,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(settings.discount_percent or 0),code-change,critical
backend-conversion,backend/main.py,799,float(),binary float conversion,Decimal / NUMERIC when fractional; Integer when indivisible,quantity-or-measurement,float(settings.low_stock_default or 0),code-change,medium
backend-conversion,backend/main.py,1189,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(getattr(customer, ""opening_balance"", 0) or 0)",code-change,critical
backend-conversion,backend/main.py,1293,float(),binary float conversion,Decimal / NUMERIC when fractional; Integer when indivisible,quantity-or-measurement,float(data.stock or 0),code-change,medium
backend-conversion,backend/main.py,1306,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(accounting_money(data.buy_price or 0)),code-change,critical
backend-conversion,backend/main.py,1307,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(accounting_money(sell_price)),code-change,critical
backend-conversion,backend/main.py,1308,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(accounting_money(sell_price)),code-change,critical
backend-conversion,backend/main.py,1332,float(),binary float conversion,Decimal / NUMERIC when fractional; Integer when indivisible,quantity-or-measurement,float(data.stock or 0),code-change,medium
backend-conversion,backend/main.py,1346,float(),binary float conversion,Decimal / NUMERIC when fractional; Integer when indivisible,quantity-or-measurement,float(product.stock or 0),code-change,medium
backend-conversion,backend/main.py,1363,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(accounting_money(data.buy_price or 0)),code-change,critical
backend-conversion,backend/main.py,1364,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(accounting_money(sell_price)),code-change,critical
backend-conversion,backend/main.py,1365,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(accounting_money(sell_price)),code-change,critical
backend-conversion,backend/main.py,1432,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(entry.credit or 0),code-change,critical
backend-conversion,backend/main.py,1434,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(entry.debit or 0),code-change,critical
backend-conversion,backend/main.py,1436,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(accounting_money(
        raw_total,
        policy[""decimal_places""],
        policy[""rounding_mode""],
    ))",code-change,critical
raw-sql,backend/main.py,1436,return,FLOAT,Explicit numeric policy required,numeric-review,return float(accounting_money(,yes,review
raw-sql,backend/main.py,1469,and,FLOAT,Explicit numeric policy required,numeric-review,"if data.invoice_type in {""sale"", ""return_buy""} and float(product.stock or 0) < required_quantity:",yes,review
backend-conversion,backend/main.py,1469,float(),binary float conversion,Decimal / NUMERIC when fractional; Integer when indivisible,quantity-or-measurement,float(product.stock or 0),code-change,medium
backend-conversion,backend/main.py,1472,float(),binary float conversion,Decimal / NUMERIC when fractional; Integer when indivisible,quantity-or-measurement,float(product.stock or 0),code-change,medium
backend-conversion,backend/main.py,1519,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(policy_money(invoice.total_amount)),code-change,critical
backend-conversion,backend/main.py,1520,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(policy_money(getattr(invoice, ""subtotal"", 0) or 0))",code-change,critical
backend-conversion,backend/main.py,1521,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(policy_money(
        getattr(invoice, ""discount_amount"", 0) or 0
    ))",code-change,critical
backend-conversion,backend/main.py,1524,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(policy_money(subtotal - discount)),code-change,critical
backend-conversion,backend/main.py,1525,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(policy_money(getattr(invoice, ""tax_amount"", 0) or 0))",code-change,critical
backend-conversion,backend/main.py,1526,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(policy_money(
        getattr(invoice, ""shipping_cost"", 0) or 0
    ))",code-change,critical
backend-conversion,backend/main.py,1529,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(policy_money(taxable_base + shipping)),code-change,critical
backend-conversion,backend/main.py,1530,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(policy_money(sum(
        float(item.quantity)
        * float(getattr(products[item.product_id], ""buy_price"", 0) or 0)
        for item in items
    )))",code-change,critical
backend-conversion,backend/main.py,1531,float(),binary float conversion,Decimal / NUMERIC when fractional; Integer when indivisible,quantity-or-measurement,float(item.quantity),code-change,medium
backend-conversion,backend/main.py,1532,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(getattr(products[item.product_id], ""buy_price"", 0) or 0)",code-change,critical
backend-conversion,backend/main.py,1592,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(accounting_money(
        entry.credit or entry.debit,
        policy[""decimal_places""],
        policy[""rounding_mode""],
    ))",code-change,critical
backend-conversion,backend/main.py,1659,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(accounting_money(item.unit_price, policy[""decimal_places""], policy[""rounding_mode""]))",code-change,critical
backend-conversion,backend/main.py,1660,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(accounting_money(float(item.quantity) * float(item.unit_price), policy[""decimal_places""], policy[""rounding_mode""]))",code-change,critical
backend-conversion,backend/main.py,1732,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(accounting_money(item.unit_price, policy[""decimal_places""], policy[""rounding_mode""]))",code-change,critical
backend-conversion,backend/main.py,1733,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(accounting_money(float(item.quantity) * float(item.unit_price), policy[""decimal_places""], policy[""rounding_mode""]))",code-change,critical
backend-conversion,backend/main.py,1768,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(inv.total_amount or 0),code-change,critical
backend-conversion,backend/main.py,1788,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(e.credit or 0),code-change,critical
backend-conversion,backend/main.py,1789,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(e.debit or 0),code-change,critical
backend-conversion,backend/main.py,1814,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(getattr(inv, ""subtotal"", 0) or 0)",code-change,critical
backend-conversion,backend/main.py,1815,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(getattr(inv, ""discount_percent"", 0) or 0)",code-change,critical
backend-conversion,backend/main.py,1816,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(getattr(inv, ""discount_amount"", 0) or 0)",code-change,critical
backend-conversion,backend/main.py,1817,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(getattr(inv, ""tax_percent"", 0) or 0)",code-change,critical
backend-conversion,backend/main.py,1818,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(getattr(inv, ""tax_amount"", 0) or 0)",code-change,critical
backend-conversion,backend/main.py,1819,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(getattr(inv, ""shipping_cost"", 0) or 0)",code-change,critical
backend-conversion,backend/main.py,1849,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(accounting_money(
            data.amount,
            policy[""decimal_places""],
            policy[""rounding_mode""],
        ))",code-change,critical
backend-conversion,backend/main.py,1876,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(accounting_money(
                invoice.total_amount - settled_before,
                policy[""decimal_places""],
                policy[""rounding_mode""],
            ))",code-change,critical
backend-conversion,backend/main.py,1910,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(accounting_money(
                invoice.total_amount - settled,
                policy[""decimal_places""],
                policy[""rounding_mode""],
            ))",code-change,critical
backend-conversion,backend/main.py,1991,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(accounting_money(data.amount)),code-change,critical
backend-conversion,backend/main.py,2039,float(),binary float conversion,Decimal / NUMERIC when fractional; Integer when indivisible,quantity-or-measurement,float(product.stock or 0),code-change,medium
backend-conversion,backend/main.py,2040,float(),binary float conversion,Decimal / NUMERIC when fractional; Integer when indivisible,quantity-or-measurement,float(data.quantity),code-change,medium
backend-conversion,backend/main.py,2096,float(),binary float conversion,Decimal / NUMERIC when fractional; Integer when indivisible,quantity-or-measurement,float(product.stock or 0),code-change,medium
backend-conversion,backend/main.py,2372,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(entry.debit or 0),code-change,critical
raw-sql,backend/main.py,2372,return,FLOAT,Explicit numeric policy required,numeric-review,"return float(entry.debit or 0), float(entry.credit or 0)",yes,review
backend-conversion,backend/main.py,2377,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(value or 0),code-change,critical
raw-sql,backend/main.py,2377,return,FLOAT,Explicit numeric policy required,numeric-review,return float(value or 0),yes,review
backend-conversion,backend/main.py,2962,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(getattr(product, ""buy_price"", 0) or 0)",code-change,critical
backend-conversion,backend/main.py,2963,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(
                getattr(product, ""sell_price"", None)
                or getattr(product, ""price"", 0)
                or 0
            )",code-change,critical
backend-conversion,backend/main.py,2970,float(),binary float conversion,Decimal / NUMERIC when fractional; Integer when indivisible,quantity-or-measurement,float(item.quantity or 0),code-change,medium
backend-conversion,backend/main.py,2971,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(
                    getattr(item, ""total_price"", None)
                    or getattr(item, ""total"", 0)
                    or qty * float(getattr(item, ""unit_price"", 0) or 0)
                )",code-change,critical
backend-conversion,backend/main.py,2974,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(getattr(item, ""unit_price"", 0) or 0)",code-change,critical
backend-conversion,backend/main.py,2996,float(),binary float conversion,Decimal / NUMERIC when fractional; Integer when indivisible,quantity-or-measurement,"float(getattr(product, ""stock"", 0) or 0)",code-change,medium
backend-conversion,backend/main.py,3025,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(getattr(customer, ""balance"", 0) or 0)",code-change,critical
backend-conversion,backend/main.py,3026,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(getattr(customer, ""opening_balance"", 0) or 0)",code-change,critical
backend-conversion,backend/main.py,3038,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(getattr(e, ""debit"", 0) or 0)",code-change,critical
backend-conversion,backend/main.py,3039,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(getattr(e, ""credit"", 0) or 0)",code-change,critical
backend-conversion,backend/main.py,3068,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(x.get(""debit"", 0) or 0)",code-change,critical
raw-sql,backend/main.py,3068,if,FLOAT,Explicit numeric policy required,numeric-review,"debtors = [x for x in rows if float(x.get(""debit"", 0) or 0) > 0]",yes,review
backend-conversion,backend/main.py,3069,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(x.get(""credit"", 0) or 0)",code-change,critical
raw-sql,backend/main.py,3069,if,FLOAT,Explicit numeric policy required,numeric-review,"creditors = [x for x in rows if float(x.get(""credit"", 0) or 0) > 0]",yes,review
backend-conversion,backend/main.py,3071,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(x.get(""debit"", 0) or 0)",code-change,critical
backend-conversion,backend/main.py,3072,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(x.get(""credit"", 0) or 0)",code-change,critical
backend-conversion,backend/main.py,3377,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(e.credit or 0),code-change,critical
backend-conversion,backend/main.py,3378,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(e.debit or 0),code-change,critical
backend-conversion,backend/main.py,3387,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(invoice.total_amount or 0),code-change,critical
backend-conversion,backend/main.py,3721,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(entry.credit or entry.debit or 0),code-change,critical
backend-conversion,backend/tests/test_access_control.py,560,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(period[""total_debit""])",code-change,critical
backend-conversion,backend/tests/test_access_control.py,561,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(period[""total_credit""])",code-change,critical
backend-conversion,backend/tests/test_access_control.py,1221,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(voucher[""total_credit""] or 0)",code-change,critical
raw-sql,backend/tests/test_campaign_delivery.py,47,stock,FLOAT,Decimal / NUMERIC when fractional; Integer when indivisible,quantity-or-measurement,"id INTEGER PRIMARY KEY, name VARCHAR, stock FLOAT,",yes,medium
raw-sql,backend/tests/test_campaign_delivery.py,48,sell_price,FLOAT,"Decimal / NUMERIC(precision, scale)",money-or-rate,sell_price FLOAT,yes,critical
raw-sql,backend/tests/test_storefront_sync.py,37,stock,FLOAT,Decimal / NUMERIC when fractional; Integer when indivisible,quantity-or-measurement,"stock FLOAT,",yes,medium
raw-sql,backend/tests/test_storefront_sync.py,38,sell_price,FLOAT,"Decimal / NUMERIC(precision, scale)",money-or-rate,sell_price FLOAT,yes,critical
